0.0333333, 0.0000000, 0.0000000
0.0666667, -0.0000390, 0.0001196
0.1000000, -0.0000706, 0.0000855
0.1333333, -0.0005905, 0.0001496
0.1666667, -0.0003633, -0.0000591
0.2000000, -0.0003533, 0.0000367
0.2333333, -0.0004272, -0.0000127
0.2666667, -0.0004535, 0.0000278
0.3000000, -0.0003964, 0.0000071
0.3333333, -0.0004601, 0.0003149
0.3666667, -0.0003800, 0.0003014
0.4000000, -0.0004287, 0.0003177
0.4333333, -0.0004445, 0.0002700
0.4666667, -0.0004477, 0.0002688
0.5000000, -0.0004099, 0.0002514
0.5333333, -0.0004400, 0.0002648
0.5666667, -0.0004551, 0.0002794
0.6000000, -0.0004493, 0.0003135
0.6333333, -0.0003880, 0.0002696
0.6666667, -0.0004897, 0.0002664
0.7000000, -0.0003970, 0.0002664
0.7333333, -0.0004212, 0.0002605
0.7666667, -0.0005576, 0.0002585
0.8000000, -0.0005430, 0.0002823
0.8333333, -0.0005430, 0.0002851
0.8666667, -0.0005430, 0.0003136
0.9000000, -0.0004885, 0.0003136
0.9333333, -0.0004977, 0.0003085
0.9666667, -0.0004977, 0.0002873
1.0000000, -0.0005009, 0.0002873
1.0333333, -0.0003926, 0.0002727
1.0666667, -0.0005050, 0.0002734
1.1000000, -0.0005090, 0.0002588
1.1333333, -0.0005242, 0.0002539
1.1666667, -0.0004896, 0.0002324
1.2000000, -0.0005243, 0.0002884
1.2333333, -0.0004718, 0.0002696
1.2666667, -0.0004793, 0.0003114
1.3000000, -0.0005053, 0.0002944
1.3333333, -0.0004998, 0.0002944
1.3666667, -0.0004587, 0.0002772
1.4000000, -0.0004942, 0.0002237
1.4333333, -0.0004878, 0.0002471
1.4666667, -0.0005359, 0.0002471
1.5000000, -0.0005359, 0.0002048
1.5333333, -0.0005374, 0.0003225
1.5666667, -0.0006264, 0.0003356
1.6000000, -0.0006239, 0.0001908
1.6333333, -0.0006239, 0.0001636
1.6666667, -0.0006307, 0.0002569
1.7000000, -0.0006094, 0.0002294
1.7333333, -0.0006094, 0.0003748
1.7666667, -0.0005551, 0.0002244
